diameter,density,gas_density,gas_viscosity,sphericity,voidage,umf
1940,2507,1.212,1.81E-05,1,0.45,98.5
1940,750,0.32,4.00E-05,1,0.45,37
195,2581,1.212,1.81E-05,1,0.45,3.65
198,1590,1.212,1.81E-05,1,0.45,3
20,2800,1.212,1.81E-05,1,0.45,0.14
200,2500,1.212,1.81E-05,1,0.45,5.5
200,2931,1.212,1.81E-05,1,0.45,5
200,2600,1.212,1.81E-05,1,0.45,3.68
200,3930,1.212,1.81E-05,1,0.45,6.1
200,2600,1.212,1.81E-05,1,0.6,4
200,2500,1.212,1.81E-05,1,0.45,3.3
200,2500,1.212,1.81E-05,1,0.45,4.8
200,2467,1.212,1.81E-05,1,0.45,4
200,8090,1.212,1.81E-05,1,0.45,11.9
200,2530,1.212,1.81E-05,0.86,0.45,3.13
200,2514,1.212,1.81E-05,1,0.45,3.9
2000,2526,1.212,1.81E-05,1,0.45,111
2000,1720,1.212,1.81E-05,1,0.45,87
2000,1800,1.212,1.81E-05,1,0.45,78
2000,1500,1.212,1.81E-05,1,0.45,75
2000,3340,1.212,1.81E-05,1,0.45,131
2000,2500,0.310687664,4.59E-05,1,0.45,147
2000,1140,1.25,1.80E-05,1,0.45,82
202,2640,1.212,1.81E-05,1,0.45,5
202,2650,1.212,1.81E-05,1,0.45,4
2030,1560,1.212,1.81E-05,1,0.43,106
204,7520,1.212,1.81E-05,1,0.45,12.7
205,2550,1.212,1.81E-05,1,0.384,4.9
205,2600,0.316220837,4.55E-05,1,0.45,1.3
206,2600,1.6,2.23E-05,1,0.45,3.2
2068,165,1.212,1.81E-05,1,0.45,21
2080,1240,1.189,1.81E-05,1,0.346,66
209,2620,1.212,1.81E-05,1,0.45,6.9
2093,2391,1.212,1.81E-05,1,0.45,140
21,4000,1.212,1.81E-05,1,0.45,4
210,2450,1.212,1.81E-05,1,0.45,3.7
210,3810,1.212,1.81E-05,1,0.45,5
210,4600,1.212,1.81E-05,0.733,0.486,8.846
210,2450,1.212,1.81E-05,1,0.45,4
210,770,1.212,1.81E-05,1,0.45,2.54
210,2540,1.212,1.81E-05,1,0.44,6.2
210,2650,1.212,1.81E-05,1,0.45,5
211,2650,1.18372,1.85E-05,0.86,0.44,3.7
213,2500,1.212,1.81E-05,1,0.45,5.5
215,2100,1.212,1.81E-05,1,0.45,4
215,1100,1.212,1.81E-05,1,0.45,1.98
217,2553.3,1.212,1.81E-05,1,0.45,25
2170,1300,1.212,1.81E-05,1,0.45,76.85
2180,1180,1.212,1.81E-05,1,0.45,62
220,2650,1.212,1.81E-05,1,0.45,5
221,3900,1.212,1.81E-05,0.625,0.48,5
222,2600,1.212,1.81E-05,0.92,0.45,4
224,2650,1.212,1.81E-05,1,0.45,4.9
224,2530,1.212,1.81E-05,1,0.45,5.8
224,2550,1.212,1.81E-05,1,0.45,7.2
225,2650,1.212,1.81E-05,1,0.45,4
225,2650,1.212,1.81E-05,1,0.45,7
225,4600,1.212,1.81E-05,1,0.45,7.5
228,2480,1.212,1.81E-05,1,0.45,5.2
229,8750,1.212,1.81E-05,1,0.45,16.3
229,2302,1.212,1.81E-05,1,0.45,2
229,1770,1.212,1.81E-05,1,0.45,2.5
230,8100,1.212,1.81E-05,1,0.45,17
230,7860,1.212,1.81E-05,1,0.45,13.5
230,2576,1.212,1.81E-05,1,0.45,5.8
230,3780,1.212,1.81E-05,1,0.45,8.4
